,time,meanWaitTime,action,dispersion,headwaySD,disperion
1180,27020.0,275.2413793103448,No action,,816.7532423747413,16.544107744107748
1181,27023.0,278.2413793103448,No action,,816.4464009879351,16.544107744107748
1182,27026.0,281.2413793103448,No action,,815.7003784975848,16.454432803875186
1183,27032.0,277.85714285714283,No action,,816.6659377164299,16.52804161013116
1184,27035.0,280.85714285714283,No action,,817.5024877723521,16.52804161013116
1185,27054.0,279.48148148148147,No action,,824.2977682043153,16.342908640306412
1186,27078.0,293.14285714285717,No action,,825.3839004774456,16.229534147444593
1187,27081.0,286.0344827586207,No action,,825.6139445016096,16.229534147444593
1188,27088.0,304.77777777777777,No action,,826.2190697774464,16.229534147444593
1189,27095.0,311.77777777777777,No action,,825.1186654035943,16.324821246169556
1190,27101.0,317.77777777777777,No action,,824.7991928912642,16.435634540897702
1191,27106.0,322.77777777777777,No action,,824.9696997757321,16.328187535734706
1192,27116.0,304.22222222222223,No action,,825.7203142887629,16.003367003367003
1193,27125.0,317.6923076923077,No action,,825.082219392374,16.003367003367003
1194,27139.0,319.9259259259259,No action,,825.7172709320791,16.0529458150276
1195,27146.0,326.34615384615387,No action,,824.684630987753,16.144107744107746
1196,27148.0,328.34615384615387,No action,,824.4911195062556,16.144107744107746
1197,27181.0,321.6,No action,,827.4207709144929,16.740765317407654
1198,27182.0,322.6,No action,,827.4767355806363,16.740765317407654
1199,27184.0,324.6,No action,,827.5297580234675,16.740765317407654
1200,27192.0,323.75,No action,,827.884617814748,16.507188675071887
1201,27199.0,330.75,No action,,828.8036626139697,16.41225441225441
1202,27201.0,332.75,No action,,828.9244967987827,16.41225441225441
1203,27202.0,333.75,No action,,828.703229790544,16.41225441225441
1204,27203.0,334.75,No action,,828.5341911667156,16.323752228163997
1205,27219.0,316.6190476190476,No action,,828.9294363088679,15.708008658008662
1206,27224.0,321.6190476190476,No action,,850.7460707058028,15.742587161942005
1207,27225.0,322.6190476190476,No action,,850.3515855397897,15.742587161942005
1208,27236.0,333.6190476190476,No action,,850.092907053795,15.524848484848478
1209,27242.0,286.54545454545456,No action,,850.4776669020589,15.515807898479379
1210,27260.0,314.4761904761905,No action,,859.0942616377769,15.476943346508566
1211,27289.0,303.95454545454544,No action,,877.9812804464995,15.494147248659884
1212,27304.0,305.60869565217394,No action,,892.8782191515718,15.404479578392623
1213,27308.0,309.60869565217394,No action,,893.4707706165506,15.404479578392623
1214,27309.0,310.60869565217394,No action,,893.8697446482652,15.404479578392623
1215,27325.0,296.9130434782609,No action,,892.1577662589242,15.781132883606377
1216,27330.0,290.4347826086956,No action,,890.3976102532922,15.605741626794261
1217,27331.0,291.4347826086956,No action,,890.1919798984834,15.605741626794261
1218,27350.0,280.69565217391306,No action,,881.4778687788827,15.204361958687219
1219,27356.0,281.6363636363636,No action,,880.4989603256136,15.377694470477973
1220,27363.0,299.0,No action,,877.8735920822494,15.179232599027822
1221,27366.0,302.0,No action,,877.4340997985151,15.179232599027822
1222,27367.0,303.0,No action,,877.5154814212515,15.179232599027822
1223,27374.0,304.7368421052632,No action,,884.1560695940512,14.880024737167595
1224,27387.0,317.7368421052632,No action,,887.9231192461007,15.811836779345803
1225,27391.0,321.7368421052632,No action,,889.4584315179014,15.811836779345803
1226,27395.0,307.0,No action,,891.184090431284,15.717973963461327
1227,27409.0,264.3636363636364,No action,,899.2289743963826,15.837575757575756
1228,27410.0,265.3636363636364,No action,,917.4779789410483,15.837575757575756
1229,27416.0,271.3636363636364,No action,,915.8549943458844,15.848151848151844
1230,27433.0,276.4347826086956,No action,,913.2260220270563,15.821089119982108
1231,27434.0,277.4347826086956,No action,,913.2182888895957,15.821089119982108
1232,27455.0,282.4347826086956,No action,,952.4914667267307,16.25230566534914
1233,27458.0,273.625,No action,,952.0534501026698,16.25230566534914
1234,27467.0,234.34782608695653,No action,,948.632523619877,17.022727272727273
1235,27477.0,222.52173913043478,No action,,955.8135855880352,16.93020800337874
1236,27478.0,223.52173913043478,No action,,956.4944810748598,16.93020800337874
1237,27485.0,238.0,No action,,958.835502094805,16.707211487699293
1238,27487.0,229.65217391304347,No action,,959.2917819562771,16.707211487699293
1239,27493.0,235.65217391304347,No action,,962.1129345153315,16.29703394367705
1240,27498.0,240.65217391304347,No action,,966.0888464320676,16.29703394367705
1241,27516.0,236.5909090909091,No action,,962.3382362587414,16.14078282828283
1242,27524.0,234.08695652173913,No action,,963.5714755128822,15.577671451355664
1243,27545.0,255.08695652173913,No action,,966.1706694659222,15.647460520699955
1244,27548.0,258.0869565217391,No action,,966.5195163686748,15.647460520699955
1245,27550.0,260.0869565217391,No action,,967.1774200500859,15.497098646034816
1246,27556.0,235.33333333333334,No action,,965.4010157394473,15.566699018656312
1247,27558.0,237.33333333333334,No action,,964.3567859408912,15.566699018656312
1248,27569.0,248.33333333333334,No action,,965.5620587659398,15.339262187088273
1249,27596.0,260.52,No action,,966.0486975951417,15.234219450825949
1250,27603.0,256.68,No action,,965.7610508397986,15.00661545027742
